Rank,Status,Study Results,Conditions,Interventions,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Start Date,Completion Date,Locations
1,"Active, not recruiting",No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,Not Applicable,901-1k persons,Others Only,Interventional,2020,2021,France
2,Not yet recruiting,No Results Available,SARS-CoV-2 & Covid-19,Drug,All,Adults & Older Adults,Phase 1 & Phase 2,1-100 persons,Others Only,Interventional,2020,2021,Colombia
3,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,401-500 persons,Others Only,Observational,2020,2021,Italy
4,"Active, not recruiting",No Results Available,Covid-19 Only,Diagnostic Test,All,"Children, Adults & Older Adults",,1001-5k persons,Industry Only,Observational,2020,2020,Hong Kong
5,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Diagnostic Test,Female,Adults Only,,1-100 persons,Others Only,Observational,2020,2021,France
6,Enrolling by invitation,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Early Phase 1,1-100 persons,Others Only,Interventional,2020,2020,Vietnam
7,Not yet recruiting,No Results Available,Covid-19 Only,Behavioral,Female,Adults Only,Not Applicable,101-200 persons,Others Only,Interventional,2020,,United States of America
8,Not yet recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2021,India
9,Suspended,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults Only,Not Applicable,1-100 persons,Industry Only,Interventional,2020,2021,Israel
10,Recruiting,No Results Available,Cancer & Covid-19,Biological,All,"Children, Adults & Older Adults",Phase 2 & Phase 3,1-100 persons,Others Only,Interventional,2020,2021,Chile
11,Recruiting,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Early Phase 1,1-100 persons,Others Only,Interventional,2020,2020,United States of America
12,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,201-300 persons,Others Only,Observational,2020,2021,Italy
13,Recruiting,No Results Available,Covid-19 Only,Biological,Female,"Children, Adults & Older Adults",,201-300 persons,Others Only,Observational,2020,2022,United States of America
14,Completed,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,301-400 persons,Others Only,Observational,2020,2020,Italy
15,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,Not Applicable,1-100 persons,Industry Only,Interventional,2020,2021,Israel
16,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2020,France
17,Completed,No Results Available,SARS-CoV-2 & Covid-19,Diagnostic Test,All,Adults & Older Adults,Not Applicable,101-200 persons,Others Only,Interventional,2020,2020,France
18,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2021,2021,Hong Kong
19,Not yet recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2021,Italy
20,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,100001-1M persons,Others Only,Observational,2020,2021,United Kingdom
21,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2020,Italy
22,Completed,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 1 & Phase 2,101-200 persons,Others Only,Interventional,2020,2020,Others
23,"Active, not recruiting",No Results Available,Covid-19 Only,Biological,All,Adults Only,Phase 1,1-100 persons,Industry & Others,Interventional,2020,2021,France
24,Recruiting,No Results Available,Covid-19 Only,Genetic,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2030,Italy
25,Recruiting,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2021,2024,Norway
26,Recruiting,No Results Available,Anxiety,Device,All,"Children, Adults & Older Adults",Not Applicable,101-200 persons,Others Only,Interventional,2020,2023,Brazil
27,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,901-1k persons,Others Only,Observational,2020,2021,Italy
28,"Active, not recruiting",No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,401-500 persons,Others Only,Observational,2020,2021,United States of America
29,Completed,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,,801-900 persons,Others Only,Observational,2020,2020,France
30,Recruiting,No Results Available,Pregnancy & Covid-19,Diagnostic Test,Female,Adults & Older Adults,Not Applicable,1001-5k persons,Others Only,Interventional,2020,2022,France
31,Recruiting,No Results Available,Covid-19 Only,Device,All,"Children, Adults & Older Adults",,101-200 persons,Others Only,Observational,2020,2020,Others
32,Recruiting,No Results Available,Covid-19 Only,Others,All,"Children, Adults & Older Adults",,901-1k persons,Others Only,Observational,2020,2020,France
33,Withdrawn,No Results Available,Other Acute Diseases & Covid-19,Diagnostic Test,All,Adults & Older Adults,,0 persons,Others Only,Observational,2020,2022,Denmark
34,Completed,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,Not Applicable,101-200 persons,Industry Only,Interventional,2020,2021,Israel
